Time,Frame Number,Frame_length,Source_ip,Destination_IP,Source_Port,Destination_Port,SYN,ACK,RST,TTL,TCP_Protocol,Attack
0.001841,151,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.001894,156,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.001894,157,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.001918,158,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.001919,159,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.001943,160,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.001944,161,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.001968,162,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.001969,163,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.001994,164,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.002177,180,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.002178,181,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.002201,182,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.002202,183,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.002227,184,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.002228,185,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.00513,292,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.005131,293,7358,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.005143,294,1518,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.005159,295,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.00516,296,1518,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.005185,297,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.005186,298,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.005211,299,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.005212,300,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.005236,301,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.005237,302,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.005261,303,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.005262,304,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006374,400,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006385,401,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006386,402,1518,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006398,403,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006398,404,1518,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006451,405,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006452,406,5898,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006511,413,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006511,414,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006533,415,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006534,416,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006559,417,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006559,418,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006584,419,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006585,420,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006609,421,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.00661,422,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006635,423,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006635,424,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.00666,425,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006661,426,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006699,427,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006699,428,4438,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.00671,429,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006711,430,1518,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006802,431,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006803,432,10278,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006814,433,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006815,434,1518,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006837,435,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006838,436,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006862,437,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006862,438,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006887,439,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006888,440,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006912,441,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006913,442,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006938,443,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006939,444,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006963,445,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006964,446,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.006988,447,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.006989,448,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.007001,449,70,74.125.133.125,10.50.195.110,5222,37682,Not set,Set,Not set,45,TCP,
